Search Term,Paper Title,Database,DOI link
Screen time and focus interaction,Screen Time Use and Ultra-Processed Food Consumption in Adolescents: A Focus Group Qualitative Study,Science Direct,https://doi.org/10.1016/j.jand.2024.04.015
Screen time and focus interaction,Non-linear relationships and interaction effects between different types of screen time and mental health issues among Hong Kong adolescents,Science Direct,https://doi.org/10.1016/j.psycom.2025.100205
Screen time and focus interaction,Focus Time: Effectiveness of Computer Assisted Protected Time for Wellbeing and Work Engagement of Information Workers,ACM Digital Library,https://doi.org/10.1145/3596671.3598571
Screen time and focus interaction,Screen Time and Parent-Child Talk When Children Are Aged 12 to 36 Months,PubMed,https://doi.org/10.1001/jamapediatrics.2023.6790
Screen time and focus interaction,Human-Robot Interaction: Designing Effective Interfaces for Collaborative Tasks,IEEE Xplore,https://doi.org/10.1109/ICAC2N63387.2024.10895441
Screen time and focus interaction,The association between screen time trajectories and the comorbidity of depression and anxiety,Science Direct,https://doi.org/10.1016/j.addbeh.2025.108260
Screen time and focus interaction,Screen Time and Productivity: An Extension of Goal-setting Theory to Explain Optimum Smartphone Use,Google Scholar,https://doi.org/10.17705/1thci.00169
Screen time and focus interaction,Examining the Impact of Video Reality-level to Support Transition from Screen Time to Screen-Free Time (TSSF),ACM Digital Library,https://doi.org/10.1145/3613905.3651010
Screen time and focus interaction,Screen time reduction and focus on social engagement in autism spectrum disorder: A pilot study,Google Scholar,https://doi.org/10.1111/ped.15343
Screen time and focus interaction,Adolescent-parent interactions and attitudes around screen time and sugary drink consumption: a qualitative study,Google Scholar,https://doi.org/10.1186/1479-5868-6-61
In digital technology use Cognitive load,"Cognitive, affective, and normative factors affecting digital insurance adoption among persons with disabilities: A two-stage SEM-ANN analysis",Science Direct,https://doi.org/10.1016/j.gfj.2024.101048
In digital technology use Cognitive load,Reducing the Cognitive Load of Playing a Digital Tabletop Game with a Multimodal Interface,ACM Digital Library,https://doi.org/10.1145/3491102.3502062
In digital technology use Cognitive load,Conferences >2024 International Symposium Research on Teaching Activities in University Blended Technology Development Courses with Support from Generative Virtual Digital Humans,IEEE Xplore,https://doi.org/10.1109/ISET61814.2024.00052
In digital technology use Cognitive load,"Cognitive load theory, the transient information effect and e-learning",Science Direct,https://doi.org/10.1016/j.learninstruc.2012.05.004
In digital technology use Cognitive load,Memory-related cognitive load effects in an interrupted learning task: A model-based explanation,PubMed,https://doi.org/10.1016/j.tine.2020.100139
In digital technology use Cognitive load,Using cognitive strategies overcomes cognitive load in online learning environments,Google Scholar,https://doi.org/10.1037//0022-0663.80.3.284
In digital technology use Cognitive load,The Effect of Instructional and Interactive Feedback on EFL Students Cognitive Load in Digital Storytelling,IEEE Xplore,https://doi.org/10.1109/ICALT52272.2021.00091
In digital technology use Cognitive load,Cognitive factors and actual usage of Fintech innovation: Exploring the UTAUT framework for digital banking,Science Direct,https://doi.org/10.1016/j.heliyon.2024.e35582
In digital technology use Cognitive load,Applying cognitive load theory to the design of Web-based instruction,IEEE Xplore,https://doi.org/10.1109/IPCC.2000.887293
Digital distraction in focusing,Mitigating Digital Distractions in Higher Education: An Empirical Study on Awareness and Intervention Strategies,IEEE Xplore,https://doi.org/10.1109/WEEF-GEDC63419.2024.10854932
Digital distraction in focusing,"Digital Distraction, Attention Regulation, and Inequality",Google Scholar,https://doi.org/10.1007/s13347-024-00698-z
Digital distraction in focusing,Preventing digital distraction in secondary classrooms: A quasi-experimental study,Science Direct,https://doi.org/10.1016/j.compedu.2024.105223
Digital distraction in focusing,Classification Comparison of Activity Distraction Detection in Car Driving,ACM Digital Library,https://doi.org/10.1145/3568231.3568236
Digital distraction in focusing,The effect of sudden-onset distractors on reading efficiency and comprehension,PubMed,https://doi.org/10.1177/17470218221108355
Digital distraction in focusing,Exploring the Influence of Digital Media on Secondary School Students' Daily Lives,IEEE Xplore,https://doi.org/10.1109/CANDO-EPE65072.2024.10772881
Digital distraction in focusing,"The influence of digital distraction on cognitive load, attention conflict and meeting productivity",Google Scholar,https://hdl.handle.net/11427/31622
Digital distraction in focusing,Digital Distraction,ACM Digital Library,https://doi.org/10.1145/3047273.3047328
Digital distraction in focusing,Mindful work and mindful technology: Redressing digital distraction in knowledge work,Science Direct,https://doi.org/10.1016/j.digbus.2022.100051
Attention span in tech-usage,Dynamic Attention-Based Click-Through Rate Prediction Model,ACM Digital Library,https://doi.org/10.1145/3625343.3625355
Attention span in tech-usage,Examining the Influence of Short Videos on attention Span and its Relationship with Academic Performance,Google Scholar,https://dx.doi.org/10.21275/SR24428105200
Attention span in tech-usage,Global visual attention SPAN in different video game genres,PubMed,https://doi.org/10.1038/s41598-023-49434-1
Attention span in tech-usage,"Attention span during lectures: 8 seconds, 10 minutes, or more?",PubMed,https://doi.org/10.1152/advan.00109.2016
Attention span in tech-usage,Attention Receipts: Utilizing the Materiality of Receipts to Improve Screen-time Reflection on YouTube,ACM Digital Library,https://doi.org/10.1145/3613904.3642505
Attention span in tech-usage,METAPHORICAL FRAMING OF CHILDRENS DIGITAL MEDIA ADDICTION IN MEDIA DISCOURSE,Google Scholar,https://www.ceeol.com/search/journal-detail?id=2304
Attention span in tech-usage,Understanding AI tool engagement: A study of ChatGPT usage and word-of-mouth among university students and office workers,Science Direct,https://doi.org/10.1016/j.tele.2023.102067
Attention span in tech-usage,SleepNet: Attention-Enhanced Robust Sleep Prediction using Dynamic Social Networks,ACM Digital Library,https://doi.org/10.1145/3643508
Attention span in tech-usage,"A survey on digital device engagement, digital stress, and coping strategies among college students in the Philippines",Google Scholar,https://doi.org/10.1080/02673843.2024.2371413
Focus tracking in online learning by using AI,A Machine Learning Approach for Understanding the Educational Foci and Technical Solutions of AIED,ACM Digital Library,https://doi.org/10.1145/3573051.3596181
Focus tracking in online learning by using AI,Utilizing Artificial Intelligence Technology to Construct an Online Learning Monitoring and Student Behavior Tracking Model,Science Direct,https://doi.org/10.1016/j.procs.2024.10.096
Focus tracking in online learning by using AI,FocTrack: Focus attention for visual tracking,Science Direct,https://doi.org/10.1016/j.patcog.2024.111128
Focus tracking in online learning by using AI,Harnessing Machine Learning and Generative AI: A New Era in Online Tutoring Systems,ACM Digital Library,https://doi.org/10.1145/3688086
Focus tracking in online learning by using AI,TeacherEye: An AI-Powered System for Monitoring Student Engagement in Online Education,IEEE Xplore,https://doi.org/10.1109/LT64002.2025.10940905
Focus tracking in online learning by using AI,Enhancing Student Engagement and Performance in Online Classrooms through a Smart Management Application,IEEE Xplore,https://doi.org/10.1109/ICEARS64219.2025.10940928
Focus tracking in online learning by using AI,The impact of artificial intelligence on learnerinstructor interaction in online learning,Google Scholar,https://doi.org/10.1186/s41239-021-00292-9
Focus tracking in online learning by using AI,Ai-Powered Personalized Learning System Design: Student Engagement And Performance Tracking System,IEEE Xplore,https://doi.org/10.1109/ICACITE60783.2024.10617155
Focus tracking in online learning by using AI,Online multi-object tracking with unsupervised re-identification learning and occlusion estimation,Science Direct,https://doi.org/10.1016/j.neucom.2022.01.008
Focus tracking in online learning by using AI,A Proposed AI Method for Tracking College Students Academic Progress,IEEE Xplore,https://doi.org/10.1109/ITT59889.2023.10184256
Focus tracking in online learning by using AI,Exploring the Impact of AI on Teaching in Higher Education: an Exploratory Study,IEEE Xplore,https://doi.org/10.1109/MIPRO60963.2024.10569342
Focus tracking in online learning by using AI,Multi-Target Tracking by Online Learning a CRF Model of Appearance and Motion Patterns,Google Scholar,https://doi.org/10.1007/s11263-013-0666-4
Focus tracking in online learning by using AI,On-device Online Learning and Semantic Management of TinyML Systems,ACM Digital Library,https://doi.org/10.1145/3665278
Attention monitoring in e-learning using AI,Randomized Controlled Trial of the Behavioral Intervention for Physical Activity in Multiple Sclerosis Project: Response Heterogeneity and Predictors of Change,PubMed,https://doi.org/10.1007/s12529-024-10265-7
Attention monitoring in e-learning using AI,Configuring and Monitoring Students' Interactions with Generative AI Tools: Supporting Teacher Autonomy,ACM Digital Library,https://doi.org/10.1145/3706468.3706533
Attention monitoring in e-learning using AI,Artificial intelligence based cognitive state prediction in an e-learning environment using multimodal data,Google Scholar,https://doi.org/10.1007/s11042-023-18021-x
Attention monitoring in e-learning using AI,Assessment of Learners' Attention to E-Learning by Monitoring Facial Expressions for Computer Network Courses,Google Scholar,https://doi.org/10.2190/EC.47.4.b
Attention monitoring in e-learning using AI,EEG-Based Attention Feedback to Improve Focus in E-Learning,ACM Digital Library,https://doi.org/10.1145/3297156.3297157
Attention monitoring in e-learning using AI,Assessment of Student Attentiveness to E-Learning by Monitoring Behavioural Elements,IEEE Xplore,https://doi.org/10.1109/ICCCI50826.2021.9402283
Attention monitoring in e-learning using AI,Students' Attention Assessment in eLearning based on Machine Learning,Google Scholar,https://doi.org/10.1088/1755-1315/199/3/032042
Attention monitoring in e-learning using AI,Attention monitoring of students during online classes using XGBoost classifier,Science Direct,https://doi.org/10.1016/j.caeai.2023.100191
Attention monitoring in e-learning using AI,A Deep Learning-Enabled Approach for Real-Time Monitoring of Learner Activities in Adaptive E-Learning Environments,IEEE Xplore,https://doi.org/10.1109/ICCPCT61902.2024.10673041
Attention monitoring in e-learning using AI,Monitoring Students Attention on Smart Phone for E-Learning,Google Scholar,https://doi.org/10.1149/10701.7025ecst
Attention monitoring in e-learning using AI,Real-Time Attention Monitoring System for Classroom: A Deep Learning Approach for Students Behavior Recognition,Google Scholar,https://doi.org/10.3390/bdcc7010048
Attention monitoring in e-learning using AI,Improvement of Student Attention Monitoring Supported by Precision Sensing in Learning Management Systems,Google Scholar,https://doi.org/10.5772/intechopen.98764
Attention monitoring in e-learning using AI,"AI-Based Personalized E-Learning Systems: Issues, Challenges, and Solutions",IEEE Xplore,https://doi.org/10.1109/ACCESS.2022.3193938
Artificial Intelligent tutoring systems and focus,The application of AI technology in Intelligent Tutoring System,IEEE Xplore,https://doi.org/10.1109/ICETC.2010.5529201
Artificial Intelligent tutoring systems and focus,Natural Language Processing in Education System,IEEE Xplore,https://doi.org/10.1109/IDICAIEI61867.2024.10842725
Artificial Intelligent tutoring systems and focus,Using ChatGPT to annotate a dataset: A case study in intelligent tutoring systems,Science Direct,https://doi.org/10.1016/j.mlwa.2024.100557
Artificial Intelligent tutoring systems and focus,"Work-In-Progress-An Intelligent Immersive Learning System Using AI, XR and Robots",IEEE Xplore,https://doi.org/10.23919/iLRN52045.2021.9459358
Artificial Intelligent tutoring systems and focus,Artificial Intelligence in Language Classrooms: Improving Engagement and Outcomes,IEEE Xplore,https://doi.org/10.1109/ICICAT62666.2024.10923388
Artificial Intelligent tutoring systems and focus,Effectiveness of gamified intelligent tutoring in physical education through the lens of self-determination theory,Science Direct,https://doi.org/10.1016/j.compedu.2024.105212
Artificial Intelligent tutoring systems and focus,Lessons Learned and Future Directions of MetaTutor: Leveraging Multichannel Data to Scaffold Self-Regulated Learning With an Intelligent Tutoring System,PubMed,https://doi.org/10.3389/fpsyg.2022.813632
Artificial Intelligent tutoring systems and focus,Generative Artificial Intelligence Enables Multiple Learning Environments and Implementation Paths,ACM Digital Library,https://doi.org/10.1145/3711403.3711436
Artificial Intelligent tutoring systems and focus,"The Relative Effectiveness of Human Tutoring, Intelligent Tutoring Systems, and Other Tutoring Systems",Google Scholar,https://doi.org/10.1080/00461520.2011.611369
Artificial Intelligent tutoring systems and focus,An intelligent tutoring system for the accounting cycle: Enhancing textbook homework with artificial intelligence,Science Direct,https://doi.org/10.1016/j.jaccedu.2009.05.001
Artificial Intelligent tutoring systems and focus,Exploration and research of generative artificial intelligence on higher vocational education,ACM Digital Library,https://doi.org/10.1145/3691720.3691809
Artificial Intelligent tutoring systems and focus,SSDTutor: A feedback-driven intelligent tutoring system for secure software development,Science Direct,https://doi.org/10.1016/j.scico.2023.102933
Student engagement prediction using Machine Learning,Student-Engagement Detection in Classroom Using Machine Learning Algorithm,Google Scholar,https://doi.org/10.3390/electronics12030731
Student engagement prediction using Machine Learning,Predictive Modeling of Student Behavior for Early Dropout Detection in Universities using Machine Learning Techniques,IEEE Xplore,https://doi.org/10.1109/ICETAS59148.2023.10346531
Student engagement prediction using Machine Learning,Machine learning for spelling acquisition: How accurate is the prediction of specific spelling errors in German primary school students?,Science Direct,https://doi.org/10.1016/j.caeai.2024.100233
Student engagement prediction using Machine Learning,AI MyData: Fostering Middle School Students Engagement with Machine Learning through an Ethics-Infused AI Curriculum,ACM Digital Library,https://doi.org/10.1145/3702242
Student engagement prediction using Machine Learning,Using machine learning to predict student retention from socio-demographic characteristics and app-based engagement metrics,PubMed,https://doi.org/10.1038/s41598-023-32484-w
Student engagement prediction using Machine Learning,Early prediction of student engagement in virtual learning environments using machine learning techniques,Google Scholar,https://doi.org/10.1177/20427530221108027
Student engagement prediction using Machine Learning,"Exploring Student Engagement, Confidence, and Usefulness for Female Students in CS Class at High School Using Machine Learning",IEEE Xplore,https://doi.org/10.1109/FIE58773.2023.10343402
Student engagement prediction using Machine Learning,Use Machine Learning to Predict Primary School Students Level of Learning Engagement,ACM Digital Library,https://doi.org/10.1145/3510309.3510313
Student engagement prediction using Machine Learning,Application of Deep Learning on Student Engagement in e-learning environments,Science Direct,https://doi.org/10.1016/j.compeleceng.2021.107277
Student engagement prediction using Machine Learning,Predicting Students Performance using Machine Learning Classifiers,IEEE Xplore,https://doi.org/10.1109/ACIT62805.2024.10877102
Student engagement prediction using Machine Learning,Predicting Student Reasoning for Self-Reported Affect in Game-Based Learning Environments,ACM Digital Library,https://doi.org/10.1145/3641555.3705232
Student engagement prediction using Machine Learning,Utilizing early engagement and machine learning to predict student outcomes,Science Direct,https://doi.org/10.1016/j.compedu.2018.12.006
Student engagement prediction using Machine Learning,Dyslexia Adaptive Learning Model: Student Engagement Prediction Using Machine Learning Approach,Google Scholar,https://doi.org/10.1007/978-3-319-72550-5_36
Assessing attention in MOOCs using artificial intelligence,Increasing Student Engagement in Lessons and Assessing MOOC Participants Through Artificial Intelligence,Google Scholar,https://doi.org/10.1007/978-3-031-06458-6_11
Assessing attention in MOOCs using artificial intelligence,MOOC Evaluation System Based on Deep Learning,Google Scholar,https://doi.org/10.19173/irrodl.v22i4.5417
Assessing attention in MOOCs using artificial intelligence,Research on the big data analysis of MOOCs in a flipped classroom based on attention mechanism in deep learning model,Google Scholar,https://doi.org/10.1002/cae.22678
Assessing attention in MOOCs using artificial intelligence,Artificial Intelligence Empowers Gamification: Optimizing Student Engagement and Learning Outcomes in E-learning and MOOCs.,Google Scholar,https://doi.org/10.3991/ijep.v13i8.40853
Assessing attention in MOOCs using artificial intelligence,Research On the Optimization of Ideological and Political Education in Universities Integrating Artificial Intelligence Technology Under the Guidance of Curriculum Ideological and Political Thinking,ACM Digital Library,https://doi.org/10.1145/3611012
Assessing attention in MOOCs using artificial intelligence,Artificial intelligence in education and assessment method,Google Scholar,https://doi.org/10.11591/eei.v9i5.1984
Assessing attention in MOOCs using artificial intelligence,A Survey on Artificial Intelligence and Data Mining for MOOCs,Google Scholar,https://doi.org/10.48550/arXiv.1601.06862
Assessing attention in MOOCs using artificial intelligence,Assessing Student Performance with Multi-granularity Attention from Online Classroom Dialogue,ACM Digital Library,https://doi.org/10.1145/3583780.3615143
Assessing attention in MOOCs using artificial intelligence,Towards AI-powered personalization in MOOC learning,Google Scholar,https://doi.org/10.1038/s41539-017-0016-3
Assessing attention in MOOCs using artificial intelligence,A Path Study of Generative Artificial Intelligence Enabling Online Education Platforms in Colleges and Universities,ACM Digital Library,https://doi.org/10.1145/3700297.3700354
Assessing attention in MOOCs using artificial intelligence, The MOOC as Distributed Intelligence: Dimensions of a Framework & Evaluation of MOOCs,Google Scholar,https://doi.dx.org/10.22318/cscl2013.2.42
Assessing attention in MOOCs using artificial intelligence,A Study on the Behavioral Intention of Primary and Secondary School Teachers Using Generative Artificial Intelligence in Teaching,ACM Digital Library,https://doi.org/10.1145/3675812.3675870
Assessing attention in MOOCs using artificial intelligence,A lesson study on a MOOC-based and AI-powered flipped teaching and assessment of EFL writing model: teachers' and students' growth,Google Scholar,https://doi.org/10.1108/IJLLS-07-2023-0085
AI detection of ADHD,Automated detection of ADHD: Current trends and future perspective,Google Scholar,https://doi.org/10.1016/j.compbiomed.2022.105525
AI detection of ADHD,Artificial intelligence as a support to diagnose ADHD: an insight of unorthodox approaches: a scoping review,Google Scholar,https://doi.org/10.1080/09297049.2025.2468411
AI detection of ADHD,Deep neural network technique for automated detection of ADHD and CD using ECG signal,Google Scholar,https://doi.org/10.1016/j.cmpb.2023.107775
AI detection of ADHD,Machine and Deep Learning Algorithms for ADHD Detection: A Review,Google Scholar,https://doi.org/10.1007/978-3-031-40688-1_8
AI detection of ADHD,Artificial Intelligence Based Techniques for the Detection of Socio-Behavioral Disorders: A Systematic Review,Google Scholar,https://doi.org/10.1007/s11831-021-09682-8
AI detection of ADHD,Detection of ADHD and Explaining the Factors,Google Scholar,https://doi.org/10.1007/978-981-99-5435-3_43
AI detection of ADHD,Using artificial intelligence methods to study the effectiveness of exercise in patients with ADHD,Google Scholar,https://doi.org/10.3389/fnins.2024.1380886
AI detection of ADHD,A short report on ADHD detection using convolutional neural networks,Google Scholar,https://doi.org/10.3389/fpsyt.2024.1426155
AI detection of ADHD,Machine Learning in ADHD and Depression Mental Health Diagnosis: A Survey,Google Scholar,http://doi.org/10.1109/ACCESS.2023.3304236
AI detection of ADHD,Intelligent ADHD Detection Using Explainable Multimodal Fusion Model,IEEE Xplore,http://doi.org/10.1109/ICIBA62489.2024.10868017
AI detection of ADHD,Machine Learning and ADHD Mental Health Detection - A Short Survey,IEEE Xplore,http://doi.org/10.23919/FUSION49751.2022.9841277
AI detection of ADHD,AI-Based Techniques for the Detection of Neuro-Developmental Disorders: A Survey,IEEE Xplore,?http://doi.org/10.1109/ISCON57294.2023.10112000
AI detection of ADHD,AI-Enabled Deep Depression Detection and Evaluation Informed by DSM-5-TR,IEEE Xplore,http://doi.org/10.1109/TCSS.2024.3382139
AI detection of ADHD,Detecting Brain activity in ADHD children and healthy controls using Machine Learning Techniques,ACM Digital Library,https://doi.org/10.1145/3641142.3641156
AI detection of ADHD, Siamese based deep neural network for ADHD detection using EEG signal,ScienceDirect,https://doi.org/10.1016/j.compbiomed.2024.109092
AI detection of ADHD,ADHD detection based on human action recognition,ScienceDirect,https://doi.org/10.1016/j.nsa.2024.104093
AI detection of ADHD,Insight into ADHD diagnosis with deep learning on Actimetry: Quantitative interpretation of occlusion maps in age and gender subgroups,ScienceDirect,https://doi.org/10.1016/j.artmed.2023.102630
AI detection of ADHD,Exploring potential ADHD biomarkers through advanced machine learning: An examination of audiovisual integration networks,ScienceDirect,https://doi.org/10.1016/j.compbiomed.2024.109240
AI detection of ADHD,"Artificial intelligence in psychiatry research, diagnosis, and therapy",PubMed,http://doi.org/10.1016/j.ajp.2023.103705
AI detection of ADHD,Siamese based deep neural network for ADHD detection using EEG signal,PubMed,http://doi.org/10.1016/j.compbiomed.2024.109092
AI detection of ADHD,Development of an innovative approach using portable eye tracking to assist ADHD screening: a machine learning study,PubMed,http://doi.org/10.3389/fpsyt.2024.1337595
Machine learning for attention disorders,Machine learning in attention-deficit/hyperactivity disorder: new approaches toward understanding the neural mechanisms,Google Scholar,https://doi.org/10.1038/s41398-023-02536-w
Machine learning for attention disorders,Machine Learning�Based Prediction of Attention-Deficit/Hyperactivity Disorder and Sleep Problems With Wearable Data in Children,Google Scholar,http://doi.org/10.1001/jamanetworkopen.2023.3502
Machine learning for attention disorders,Machine Learning Methods for Diagnosing Autism Spectrum Disorder and Attention- Deficit/Hyperactivity Disorder Using Functional and Structural MRI: A Survey,Google Scholar,https://doi.org/10.3389/fninf.2020.575999
Machine learning for attention disorders,Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Machine Learning,Google Scholar,https://doi.org/10.1080/08839514.2021.1933761
Machine learning for attention disorders,A Machine Learning-Based Analysis of Game Data for Attention Deficit Hyperactivity Disorder Assessment,Google Scholar,https://doi.org/10.1089/g4h.2013.0058
Machine learning for attention disorders,"Machine Learning Techniques for the Diagnosis of Attention-Deficit/Hyperactivity Disorder from Magnetic Resonance Imaging
",Google Scholar,http://doi.org/10.4103/0028-3886.333520
Machine learning for attention disorders,Towards interpretable machine learning models for diagnosis aid: A case study on attention deficit/hyperactivity disorder,Google Scholar,https://doi.org/10.1371/journal.pone.0215720
Machine learning for attention disorders,Machine learning models effectively distinguish attention-deficit/hyperactivity disorder using event-related potentials,Google Scholar,https://doi.org/10.1007/s11571-021-09746-2
Machine learning for attention disorders,Machine learning-enabled detection of attention-deficit/hyperactivity disorder with multimodal physiological data: a case-control study,Google Scholar,https://doi.org/10.1186/s12888-024-05987-7
Machine learning for attention disorders,Assessment of the Autism Spectrum Disorder Based on Machine Learning and Social Visual Attention: A Systematic Review,Google Scholar,https://doi.org/10.1007/s10803-021-05106-5
Machine learning for attention disorders,Machine-learning-based diagnosis of drug-naive adult patients with attention-deficit hyperactivity disorder using mismatch negativity,Google Scholar,https://doi.org/10.1038/s41398-021-01604-3
Machine learning for attention disorders,Regional Contribution in Electrophysiological-Based Classifications of Attention Deficit Hyperactive Disorder (ADHD) Using Machine Learning,Google Scholar,https://doi.org/10.3390/computation11090180
Machine learning for attention disorders,A systematic review on the application of machine learning models in psychometric questionnaires for the diagnosis of attention deficit hyperactivity disorder,Google Scholar,https://doi.org/10.1111/ejn.16288
Machine learning for attention disorders,Evidence for similar structural brain anomalies in youth and adult attention-deficit/hyperactivity disorder: a machine learning analysis,Google Scholar,https://doi.org/10.1038/s41398-021-01201-4
Machine learning for attention disorders,Identification of attention deficit hyperactivity disorder with deep learning model,Google Scholar,https://doi.org/10.1007/s13246-023-01275-y
Machine learning for attention disorders,"Early detection of paediatric and adolescent obsessive�compulsive, separation anxiety and attention deficit hyperactivity disorder using machine learning algorithms",Google Scholar,https://doi.org/10.1007/s13755-023-00232-z
Machine learning for attention disorders,"Comparison of Machine Learning predictive methods to diagnose the Attention Deficit/Hyperactivity Disorder levels using SPECT
",Google Scholar,https://doi.org/10.33448/rsd-v11i8.31258
Machine learning for attention disorders,A Review of Machine Learning and Deep Learning Approaches on Mental Health Diagnosis,Google Scholar,https://doi.org/10.3390/healthcare11030285
Machine learning for attention disorders,Leveraging Machine Learning to Identify Predictors of Receiving Psychosocial Treatment for Attention Deficit/Hyperactivity Disorder,Google Scholar,https://doi.org/10.1007/s10488-020-01045-y
Machine learning for attention disorders,"Machine Learning Prediction of ADHD Severity: Association and Linkage to ADGRL3, DRD4, and SNAP25
 ",Google Scholar,https://doi.org/10.1177/10870547211015426
Machine learning for attention disorders,"Prediction of Attention Deficit Hyperactivity Disorder Using Machine Learning Models
",IEEE Xplore,https://doi.org/10.1109/AIIoT58432.2024.10574571
Machine learning for attention disorders,Classification of Attention Deficit Hyperactivity Disorder using Machine Learning,IEEE Xplore,http://doi.org/10.1109/FABS52071.2021.9702614
Machine learning for attention disorders,Comprehensive Analysis of Attention Deficit/Hyperactivity Disorder using Machine Learning and Deep Learning Algorithms,IEEE Xplore,http://doi.org/10.1109/tccn.2024.3431889
Machine learning for attention disorders,Prediction of Attention Deficit Hyperactivity Disorder (ADHD) using machine learning Techniques based on classification of EEG signal,IEEE Xplore,http://doi.org/10.1109/ICACCS54159.2022.9785356
Machine learning for attention disorders,A Review on Recent Machine Learning Applications for Addiction Disorders,IEEE Xplore,http://doi.org/10.1109/PAIS56586.2022.9946888
Machine learning for attention disorders,Predictive Analysis of Autism Spectrum Disorder (ASD) using Machine Learning,IEEE Xplore,https://doi.org/10.1109/FIT53504.2021.00063
Machine learning for attention disorders,Classification of Attention Deficit Hyperactivity Disorder Using Machine Learning,IEEE Xplore,https://doi.org/10.1109/GCAT55367.2022.9971947
Machine learning for attention disorders,A Review of Mental Health Analysis Through Social Media Using Machine Learning and Deep Learning Approaches,IEEE Xplore,https://doi.org/10.1109/ICECT61618.2024.10581373
Machine learning for attention disorders,A Machine Learning-Based Monitoring System for Attention and Stress Detection for Children with Autism Spectrum Disorders,"ACM Digital Library
",https://doi.org/10.1145/3484377.3484381
Machine learning for attention disorders,XAI Reveals the Causes of Attention Deficit Hyperactivity Disorder (ADHD) Bias in Student Performance Prediction,ACM Digital Library,https://doi.org/10.1145/3706468.3706521
Machine learning for attention disorders,Predicting non-suicidal self-injury behavior among adolescents with depressive disorders: a comparative study based on different machine learning methods,ACM Digital Library,https://doi.org/10.1145/3635175.3635209
Machine learning for attention disorders,A systematic literature review of machine learning techniques for the detection of attention-deficit/hyperactivity disorder using MRI and/or EEG data,ScienceDirect,https://doi.org/10.1016/j.neuroscience.2025.02.019
Machine learning for attention disorders,Machine-learning-based feature selection to identify attention-deficit hyperactivity disorder using whole-brain white matter microstructure: A longitudinal study,ScienceDirect,https://doi.org/10.1016/j.ajp.2024.104087
Machine learning for attention disorders,Characterization of attentional event-related potential from REM sleep behavior disorder patients based on explainable machine learning,ScienceDirect,https://doi.org/10.1016/j.cmpb.2023.107496
Machine learning for attention disorders,"Developing a machine learning model for detecting depression, anxiety, and apathy in older adults with mild cognitive impairment using speech and facial expressions: A cross-sectional observational study",PubMed,http://doi.org/10.1016/j.ijnurstu.2023.104562
Machine learning for attention disorders,"Machine Learning for Predicting Cognitive Diseases: Methods, Data Sources and Risk Factors",PubMed,https://doi.org/10.1007/s10916-018-1071-x
AI-powered assessment of attention deficits,"Revolutionizing attention deficit hyperactivity disorder with artificial intelligence
",Google Scholar,https://doi.org/10.1371/journal.pmen.0000181
AI-powered assessment of attention deficits,"Exploring the Efficacy of Robotic Assistants with ChatGPT and Claude in Enhancing ADHD Therapy: Innovating Treatment Paradigms
",Google Scholar,https://doi.org/10.1109/IE61493.2024.10599903
AI-powered assessment of attention deficits,"AI-powered Language Assessment Tools for Dementia
",Google Scholar,https://doi.org/10.48550/arXiv.2209.12652
AI-powered assessment of attention deficits,Leveraging AI in E-Learning: Personalized Learning and Adaptive Assessment through Cognitive Neuropsychology�A Systematic Analysis,Google Scholar,https://doi.org/10.3390/electronics13183762c
